id;close_price_1;close_price_2;i_0;avg;sd;z;signal;buy_price;sell_price;mtm;status
111;3263,1;1641,2;0,6872;0,68721;0,00007;0,63259;;3265,4;1642,7;9,26;Buy
112;3262,6;1641;0,6872;0,68721;0,00007;0,16125;;;;10,01;TP
113;3263,1;1641,2;0,6872;0,68722;0,00005;0,55815;;;;;
114;3262,6;1641;0,6872;0,68722;0,00005;-0,07798;;;;;
115;3262,6;1640,9;0,6873;0,68723;0,00005;1,01490;Sell;1640,9;3262,6;;Sell
116;3262,8;1641,1;0,6872;0,68724;0,00005;-0,47810;;1640,9;3262,6;1,50;Sell
117;3263,1;1641,2;0,6872;0,68724;0,00005;0,20394;;1640,9;3262,6;1,75;Sell
118;3262,4;1640,8;0,6873;0,68724;0,00005;0,84275;;1640,9;3262,6;-0,50;Sell
119;3264,1;1641,6;0,6873;0,68723;0,00003;2,39763;Sell;1640,9;3262,6;3,25;Sell
120;3264,4;1641,8;0,6873;0,68725;0,00004;0,98116;;1640,9;3262,6;4,51;Sell
121;3265,3;1641,9;0,6875;0,68726;0,00003;7,51278;Sell;1640,9;3262,6;3,26;Sell
122;3265,1;1641,9;0,6874;0,68728;0,00008;1,88167;Sell;1640,9;3262,6;3,76;Sell
123;3264,9;1641,9;0,6874;0,68730;0,00009;0,78332;;1640,9;3262,6;4,26;Sell
124;3265,3;1642;0,6874;0,68732;0,00009;1,30625;Sell;1640,9;3262,6;4,26;Sell
125;3264,8;1641,9;0,6873;0,68734;0,00009;0,08056;;1640,9;3262,6;4,51;Sell
126;3263,9;1641,5;0,6873;0,68734;0,00009;-0,33962;;1640,9;3262,6;2,75;Sell
127;3264,1;1641,6;0,6873;0,68735;0,00008;-0,49120;;1640,9;3262,6;3,25;Sell
128;3264,8;1641,9;0,6873;0,68736;0,00007;-0,19476;;1640,9;3262,6;4,51;Sell
129;3264,9;1641,9;0,6874;0,68737;0,00007;0,13698;;1640,9;3262,6;4,26;Sell
130;3265,1;1642,2;0,6873;0,68737;0,00007;-1,75777;Buy;1640,9;3262,6;6,76;Sell
131;3265,9;1642,6;0,6873;0,68737;0,00007;-1,58097;Buy;1640,9;3262,6;8,76;Sell
132;3265,6;1642,3;0,6873;0,68734;0,00006;0,01984;;1640,9;3262,6;6,51;Sell
133;3265,6;1642,5;0,6872;0,68734;0,00006;-2,00318;Buy;1640,9;3262,6;8,51;Sell
134;3265,3;1642,2;0,6873;0,68732;0,00006;-0,08737;;1640,9;3262,6;6,26;Sell
135;3264,6;1641,7;0,6874;0,68731;0,00005;1,98034;Sell;1640,9;3262,6;3,01;Sell
136;3264,6;1641,5;0,6875;0,68731;0,00006;3,73361;Sell;1640,9;3262,6;1,01;Sell
137;3264,4;1641,6;0,6874;0,68734;0,00009;0,78268;;1640,9;3262,6;2,51;Sell
